"question","answer","explanation"
"Quelle est la définition de la maladie des emboles de cholestérol ?","Maladie athéro-embolique systémique liée à la migration de multiples emboles de cholestérol à partir de plaques d’athérome ulcérées.","Elle touche préférentiellement le rein, la peau et le tube digestif."
"Quel est le pronostic de la maladie des emboles de cholestérol ?","Pronostic sombre avec risque élevé d’insuffisance rénale chronique terminale et de mortalité.","La présentation clinique est souvent hétérogène."
"Quel est le mécanisme physiopathologique principal ?","Ulcération et fragmentation de plaques d’athérome instables des gros troncs artériels → occlusion artériolaire → nécro-inflammation tissulaire et réaction inflammatoire systémique.","Au niveau rénal, l’ischémie stimule le système rénine-angiotensine-aldostérone."
"Quel est le terrain typique de la maladie des emboles de cholestérol ?","Homme âgé, tabagique, diabétique, obèse, dyslipidémique, avec antécédents cardio-vasculaires.","Il s’agit presque toujours d’un patient athéromateux sévère."
"Quels sont les principaux facteurs déclenchants de la maladie des emboles de cholestérol ?","Angiographie invasive, chirurgie cardio-vasculaire, et introduction d’anti-thrombotiques ou d’anticoagulants (délai de 8 jours à 8 semaines).","Ces gestes fragilisent les plaques d’athérome."
"Quels sont les signes cutanés caractéristiques de la maladie des emboles de cholestérol ?","Livedo réticulaire, orteils pourpres froids et douloureux (« blue toe syndrome »), purpura nécrotique et ulcères chroniques.","Ils sont présents dans 30 à 90 % des cas."
"Quels sont les signes rénaux de la maladie des emboles de cholestérol ?","Insuffisance rénale rapidement ou lentement progressive et hypertension artérielle sévère.","L’atteinte rénale concerne 50 à 75 % des patients."
"Quels sont les signes digestifs possibles et leur signification pronostique ?","Douleurs abdominales, hémorragie digestive et ischémie mésentérique. Leur présence assombrit fortement le pronostic.","L’atteinte digestive est un facteur de gravité."
"Quel signe oculaire est considéré comme spécifique ?","Emboles rétiniens jaune-orangé réfringents (plaques de Hollenhorst).","Ils sont pathognomoniques d’embolies de cholestérol."
"Quelle est la triade diagnostique de la maladie des emboles de cholestérol ?","Exposition à un facteur déclenchant + insuffisance rénale aiguë + signes cutanés et/ou emboles au fond d’œil.","Cette triade permet souvent un diagnostic de forte probabilité."
"Quels sont les principaux diagnostics différentiels ?","Embolies cardiaques (fibrillation auriculaire), endocardite infectieuse et nécrose tubulaire aiguë post-produit de contraste (délai < 48 h).","Le délai d’apparition aide à distinguer la NTA post-contraste."
"Quels sont les principes du traitement de la maladie des emboles de cholestérol ?","Traitement symptomatique (antihypertenseurs, dialyse si besoin), statine à forte dose pour stabiliser les plaques, et parfois corticothérapie.","Il n’existe pas de traitement curatif spécifique."
