"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’HTA de l’enfant ?","Décrire les techniques de mesure et les normes, citer les circonstances de découverte et facteurs de risque, citer les complications et étiologies, décrire la prise en charge.","L’HTA de l’enfant est rare (1-2 %) et secondaire dans 95 % des cas."
"Comment définit-on l’HTA chez l’enfant ?","PAS et/ou PAD > 97,5ème percentile pour le sexe et la taille, confirmée à 3 mesures. Modérée si < +10 mmHg au-dessus du 97,5e, sévère si > +10 mmHg, menaçante si > +30 mmHg.","Les normes dépendent de l’âge, du sexe et de la taille."
"Quelles sont les règles de mesure correcte de la PA chez l’enfant ?","Enfant calme, au repos depuis au moins 5 min, brassard couvrant 2/3 de la longueur du bras et toute la circonférence, méthode auscultatoire (ou oscillométrique chez le nourrisson), 3 mesures.","Un brassard inadapté fausse les résultats."
"Quels enfants de moins de 3 ans doivent avoir une mesure systématique de la PA ?","Antécédents de prématurité ou RCIU, cardiopathie congénitale, infections urinaires récidivantes, hématurie/protéinurie, pathologie rénale ou malformation urologique, prise de certains médicaments, surcharge pondérale, HTA ou AVC familial.","Après 3 ans la mesure est systématique."
"Quels sont les quatre organes cibles des complications de l’HTA ?","Cerveau (encéphalopathie hypertensive, AVC), yeux (rétinopathie), reins (altération de la fonction glomérulaire) et cœur (HVG, dysfonction diastolique).","Ces complications définissent la gravité."
"Quelles sont les principales étiologies d’HTA secondaire chez l’enfant ?","Causes rénales et rénovasculaires (67-80 %) : glomérulopathies chroniques, sténoses des artères rénales, reins cicatriciels, polykystose… Causes endocriniennes (phéochromocytome, hyperaldostéronisme…). Chez le nourrisson : coarctation de l’aorte.","L’HTA essentielle est exceptionnelle chez l’enfant."
"Quel est le bilan de première intention devant une HTA de l’enfant ?","Créatinine, ionogramme, uricémie, glycémie, lipidémie, protéinurie/microalbuminurie, échographie rénale + Doppler des artères rénales, ± échocardiographie et fond d’œil.","Ce bilan oriente vers les causes les plus fréquentes."
"Quels sont les principes du traitement non médicamenteux ?","Correction de la surcharge pondérale, limitation des apports sodés (1-2 mmol/kg/j), activité physique régulière, arrêt du tabac chez l’adolescent.","Ces mesures suffisent souvent dans les HTA limites."
"Comment traite-t-on une HTA sévère ou menaçante ?","Hospitalisation, IEC ± inhibiteur calcique ± bêta-bloquant ± diurétique si rétention hydro-sodée. La baisse de la PA doit être progressive pour éviter l’hypoperfusion cérébrale.","L’objectif est de ramener la PA sous le 97,5ème percentile."
"Quel est le message clé concernant l’HTA de l’enfant ?","Elle est le plus souvent secondaire ; il faut toujours s’acharner à trouver une cause, surtout rénale ou rénovasculaire, et surveiller les enfants à risque.","La prévention passe par le dépistage des situations à risque."
