"question","answer","explanation"
"Quels sont les objectifs pédagogiques des vomissements chez l’enfant et le nourrisson ?","Argumenter les principales hypothèses diagnostiques, justifier les examens complémentaires et argumenter l’attitude thérapeutique.","Motif de consultation très fréquent ; bonne orientation sémiologique indispensable."
"Comment définit-on un vomissement et le différencie-t-on de la régurgitation et du mérycisme ?","Rejet actif du contenu gastrique ou intestinal avec contraction du diaphragme et des muscles abdominaux. Régurgitation = remontée passive sans effort. Mérycisme = rumination volontaire.","Les vomissements s’accompagnent souvent de nausées, pâleur, hyperventilation et sueurs."
"Quels sont les signes de gravité à rechercher d’emblée ?","Hypovolémie/déshydratation aiguë ; signes abdominaux (météorisme, défense, boudin d’invagination, hernie étranglée) ; signes d’HTIC (fontanelle bombée, regard en coucher de soleil) ; urgences métaboliques (hypoglycémie, insuffisance surrénale, toxisyndrome).","Ces signes imposent une prise en charge immédiate."
"Quels gestes d’urgence réalisez-vous devant des vomissements graves ?","Hospitalisation, voie veineuse, remplissage NaCl 0,9 % 20 ml/kg (renouvelable), mise à jeun, bilan préopératoire si chirurgie, antiémétique IV, sonde naso-gastrique.","Le remplissage corrige l’hypovolémie en attendant le diagnostic étiologique."
"Quels examens demandez-vous selon le contexte ?","ASP + échographie si syndrome occlusif ou vomissements bilieux ; fibroscopie si hématémèse/œsophagite ; bilan biologique (NFS, ionogramme, gaz du sang) ; β-HCG chez l’adolescente ; imagerie cérébrale si HTIC.","Les examens sont orientés par la clinique."
"Quelles sont les principales causes de vomissements aigus avec syndrome infectieux ?","Gastro-entérite, infections ORL, infection urinaire, méningite, infections respiratoires, hépatite.","La diarrhée associée oriente vers une gastro-entérite."
"Quelles causes chirurgicales faut-il évoquer selon l’âge ?","Nouveau-né : atrésie/sténose duodénale, iléus méconial, Hirschsprung. Prématuré : entérocolite ulcéro-nécrosante. Nourrisson/enfant : hernie étranglée, volvulus, invagination, appendicite, torsion d’annexe.","Les vomissements bilieux font craindre une occlusion."
"Quelle est l’urgence diagnostique typique du nourrisson avec vomissements en jet ?","Sténose hypertrophique du pylore (alcalose hypochlorémique).","C’est une urgence chirurgicale du nourrisson."
"Quelles sont les causes de vomissements chroniques ou récurrents ?","Erreurs diététiques (à éliminer en premier), RGO, allergie aux protéines de lait de vache, sténose du pylore, maladies métaboliques (acidocétose, hyperplasie congénitale des surrénales), vomissements acétonémiques, causes neurologiques.","L’interrogatoire alimentaire est primordial."
"Quel antiémétique est contre-indiqué et pourquoi ?","Le métoclopramide (Primpéran) en raison de ses effets secondaires neurologiques. On utilise plutôt la métopimazine (Vogalène).","Le repos digestif et le traitement étiologique restent prioritaires."
