"question","answer","explanation"
"Quelle est la définition du noma ?","Affection à point de départ buccal, généralement une gingivo-stomatite ulcéro-gangréneuse, aboutissant à une perte de substance tissulaire muqueuse, musculaire, osseuse et cutanée.","C’est une pathologie de terrain malnutri."
"Quel est le terrain typique du noma ?","Enfant d’âge préscolaire (2-5 ans), malnutrition avec carence protéique et vitaminique, famille nombreuse et pauvre, souvent au décours d’une maladie fébrile (rougeole, paludisme).","Le terrain est plus important que le germe lui-même."
"Quels germes sont classiquement incriminés dans le noma ?","Fusobacterium et spirochètes.","Il n’existe pas d’étiologie microbienne obligatoire."
"Quels sont les stades évolutifs du noma ?","Prodrome (convalescence d’une maladie), phase de début (tuméfaction gingivale œdémateuse), phase d’état (nécrose avec escarres noirâtres tombant à l’emporte-pièce) et phase de séquelles.","La phase d’état laisse un cratère avec os à nu."
"Quelles sont les conséquences cliniques majeures du noma ?","Toxi-infection pouvant être fatale, cachexie, mutilation, incontinence salivaire, cicatrices rétractiles, constriction permanente de la mâchoire et arrêt de croissance des maxillaires.","Les séquelles sont à la fois esthétiques et fonctionnelles."
"Comment classe-t-on le noma selon la gravité ?","Noma cicatriciel (parties molles uniquement) et noma profond (atteinte osseuse et structures de la face).","Le noma profond laisse des séquelles majeures."
"Quels sont les buts du traitement du noma en phase aiguë ?","Lutter contre l’infection, améliorer l’état nutritionnel, obtenir une cicatrisation avec le moins de séquelles possibles.","Le traitement associe antibiotiques, nutrition et soins locaux."
"Quels antibiotiques sont utilisés dans le noma ?","Pénicilline et métronidazole.","Ils ciblent les germes anaérobies et les spirochètes."
"Quel est le traitement des séquelles de noma ?","Chirurgie réparatrice (section des brides, comblement des pertes de substance) et prothèses maxillo-faciales.","Les résultats restent souvent incomplets."
"Quel est le pronostic du noma ?","Mortalité élevée à la phase aiguë ; résultats de la chirurgie réparatrice souvent non satisfaisants.","La prévention (nutrition, vaccination) est essentielle."
