"question","answer","explanation"
"Qu’est-ce qu’une interaction médicamenteuse ?","Action réciproque de deux ou plusieurs médicaments pouvant aboutir à une synergie, un antagonisme ou une potentialisation.","Elle peut être bénéfique ou néfaste."
"Quelle est la différence entre synergie additive et synergie potentialisatrice ?","Additive : les effets s’ajoutent (complètement ou partiellement) ; potentialisatrice : les effets s’exaltent mutuellement au-delà de la simple addition.","La potentialisation concerne souvent des médicaments d’activités qualitativement différentes."
"Qu’est-ce que l’antagonisme ?","Association de deux médicaments aux effets qualitativement différents aboutissant à une diminution (partielle) ou une annulation (totale) de l’effet global.","Il est utilisé thérapeutiquement (antidotes) ou redouté (perte d’efficacité)."
"Quels sont les mécanismes d’interaction au niveau de l’absorption ?","Formation de précipités/chélates (tétracyclines + cations), modification du pH, modification de la motilité digestive et de l’irrigation locale, interaction avec les aliments.","Ces mécanismes diminuent ou augmentent la biodisponibilité."
"Qu’est-ce qu’une interaction par déplacement des protéines plasmatiques ?","Compétition pour les sites de fixation sur l’albumine entraînant une augmentation brutale de la fraction libre et un risque de toxicité (médicaments à index thérapeutique étroit).","Elle concerne surtout les médicaments acides faibles."
"Quelles sont les conséquences d’une induction enzymatique ?","Accélération du métabolisme → diminution de l’effet des médicaments actifs, augmentation de l’effet des prodrogues.","Alcool et tabac sont de puissants inducteurs."
"Quelles sont les conséquences d’une inhibition enzymatique ?","Ralentissement du métabolisme → augmentation des concentrations et de la toxicité des médicaments actifs.","Les conséquences toxicologiques sont souvent plus importantes à court terme que celles de l’induction."
"Comment le pH urinaire peut-il être utilisé pour moduler l’élimination ?","Alcalinisation pour accélérer l’élimination des acides faibles (salicylés, phénobarbital) ; acidification pour accélérer celle des bases faibles.","C’est un moyen de traitement des intoxications."
"Qu’est-ce qu’une interaction pharmacodynamique ?","Interaction au niveau des récepteurs (antagonisme compétitif ou non compétitif) modifiant directement l’effet pharmacologique.","Elle s’oppose aux interactions purement pharmacocinétiques (ADME)."
"Quels sont les moyens de prévention des interactions médicamenteuses ?","Connaissance des mécanismes, vérification des associations, surveillance clinique et biologique, information du patient, évitement des automédications et des associations à risque.","Le prescripteur doit toujours rechercher les traitements concomitants."
