"question","answer","explanation"
"Quelle est la définition du syndrome de Goodpasture ?","Glomérulopathie proliférative à anticorps anti-membrane basale glomérulaire, classée parmi les vascularites des petits vaisseaux (Chapel Hill 2012).","Elle réalise un syndrome pneumo-rénal."
"Quelle est l’épidémiologie du syndrome de Goodpasture ?","Très rare (1 cas/million d’habitants/an), bimodale (pic vers 20 ans et après 60 ans), prédominance masculine (2/1), souvent précipitée par l’exposition à un toxique inhalé.","L’évolution est très brutale."
"Quel est le mécanisme physiopathologique du syndrome de Goodpasture ?","Production d’auto-anticorps dirigés contre la chaîne α3 du collagène de type IV (domaine NC1), qui reconnaissent la membrane basale glomérulaire et la membrane basale alvéolaire.","Ces anticorps entraînent une glomérulonéphrite rapidement progressive et une hémorragie intra-alvéolaire."
"Quel est le tableau clinique typique du syndrome de Goodpasture ?","Syndrome pneumo-rénal : hémorragie intra-alvéolaire (hémoptysie, plus fréquente chez le fumeur) + hématurie macroscopique et insuffisance rénale rapidement progressive.","L’hémorragie alvéolaire est présente dans environ 50 % des cas."
"Comment confirme-t-on l’hémorragie intra-alvéolaire ?","Par le lavage broncho-alvéolaire qui retrouve des sidérophages.","Cet examen est plus sensible que la simple radiographie."
"Quels sont les éléments biologiques du diagnostic de Goodpasture ?","Protéinurie variable, hématurie, insuffisance rénale rapidement progressive (GNRP) et présence d’anticorps anti-MBG.","25 % des patients ont également des ANCA (anti-PR3 ou anti-MPO)."
"Quels sont les aspects histologiques caractéristiques du syndrome de Goodpasture ?","En microscopie optique : prolifération extracapillaire (crescents) ; en immunofluorescence : dépôts linéaires d’IgG (et parfois d’IgA) le long de la membrane basale glomérulaire.","Les dépôts linéaires sont pathognomoniques."
"Quel est le traitement d’attaque du syndrome de Goodpasture ?","Bolus de méthylprednisolone (5-15 mg/kg/j pendant 3 jours) puis prednisone 1 mg/kg/j (max 60 mg), cyclophosphamide per os (2-3 mg/kg/j pendant 3 mois) et échanges plasmatiques jusqu’à disparition des anticorps anti-MBG (maximum 14 séances).","Ce triple traitement a transformé le pronostic."
"Quelle est la durée habituelle de la corticothérapie dans le syndrome de Goodpasture ?","Décroissance progressive sur 6 à 12 mois.","Un traitement d’entretien par azathioprine peut être proposé ensuite."
"Quelle est la place de l’hémodialyse dans le syndrome de Goodpasture ?","Elle est souvent nécessaire à la phase aiguë en raison de l’insuffisance rénale rapidement progressive.","La récupération de la fonction rénale dépend de la précocité du traitement."
