"question","answer","explanation"
"Quels sont les objectifs pédagogiques du purpura rhumatoïde ?","Poser le diagnostic, citer les principales complications, décrire les principes du traitement et les éléments de surveillance.","C’est la vascularite la plus fréquente en pédiatrie (2-11 ans)."
"Quelle est la triade clinique caractéristique du purpura rhumatoïde ?","Purpura vasculaire palpable déclive, douleurs abdominales et arthralgies/arthrites des grosses articulations.","L’état général est généralement conservé."
"Quelles sont les caractéristiques du purpura ?","Bilatéral, symétrique, palpable, pétéchial ou ecchymotique, prédominant aux membres inférieurs, majoré par l’orthostatisme.","Il évolue par poussées."
"Quelle est la complication la plus importante sur le plan pronostique ?","L’atteinte rénale (hématurie ± protéinurie, parfois glomérulonéphrite rapidement progressive pouvant évoluer vers l’IRC).","La surveillance urinaire est donc essentielle."
"Quelles sont les autres complications possibles ?","Digestives (hémorragie, invagination, occlusion, perforation), testiculaire (orchite), neurologiques, cardiaques ou pulmonaires (rares).","Les complications digestives peuvent mimer une urgence chirurgicale."
"Quels examens biologiques sont typiques ?","NFS et plaquettes normales ; bandelette urinaire à la recherche d’hématurie et de protéinurie.","L’absence de thrombopénie différencie du purpura thrombopénique."
"Quel est le traitement de base ?","Traitement symptomatique : repos au lit jusqu’à disparition des lésions cutanées, antalgiques/antispasmodiques. Pas de traitement spécifique.","L’hospitalisation est réservée aux formes douloureuses ou compliquées."
"Quand prescrit-on une corticothérapie ?","Atteinte testiculaire, manifestations abdominales sévères ou atteinte rénale (2 mg/kg/j).","Elle n’est pas systématique."
"Quelle est la surveillance urinaire recommandée après une poussée ?","Bandelette 2 fois/semaine pendant 3 mois, puis 1 fois/15 jours pendant 3 mois, 1 fois/mois pendant 6 mois, puis tous les 3 mois la 2ᵉ année.","Oublier cette surveillance est une faute professionnelle."
"Quel est le message clé de conclusion ?","Le diagnostic est clinique (triade) ; le traitement est symptomatique ; le pronostic est habituellement bon mais la gravité tient aux complications rénales qui imposent une surveillance prolongée.","Les récidives sont fréquentes dans les 6-12 semaines."
