"question","answer","explanation"
"Qu’est-ce qu’un neuroblastome ?","Tumeur embryonnaire maligne du tissu sympathique (sympathoblastome), développée aux dépens de la crête neurale, caractérisée par la sécrétion de catécholamines.","C’est la plus fréquente des tumeurs solides de l’enfant, de localisation abdominale le plus souvent."
"Quels sont les résultats anatomo-pathologiques macroscopiques du neuroblastome selon l’âge ?","Forme néonatale : tumeur bien limitée, encapsulée, molasse, d’exérèse habituellement facile. Chez l’enfant plus grand : tumeur mal limitée, infiltrante.","L’aspect macroscopique conditionne la facilité de l’exérèse chirurgicale."
"Quels sont les résultats anatomo-pathologiques microscopiques du neuroblastome ?","Architecture lobulée avec des cellules de petite taille à noyau arrondi se regroupant en rosettes.","Cet aspect histologique est caractéristique des neuroblastomes."
"Quels sont les signes cliniques liés à la tumeur primitive ?","Masse palpable dure, bosselée, fixe, indolore et volumineuse, découverte fortuitement ou accompagnée de signes de compression digestive (abdominale) ou vésico-rectale (pelvienne).","La masse abdominale est le mode de révélation le plus fréquent."
"Quels sont les signes cliniques liés aux métastases du neuroblastome ?","Altération de l’état général, anémie (envahissement médullaire), douleurs osseuses, ecchymoses péri-orbitaires avec exophtalmie (syndrome de Hutchinson), métastases ganglionnaires, nodules sous-cutanés bleutés, hépatomégalie monstrueuse (syndrome de Pepper).","Près de 60 % des neuroblastomes sont métastatiques au moment du diagnostic."
"Quels sont les syndromes paranéoplasiques associés au neuroblastome ?","Syndrome catécholaminergique (flush, sueurs, HTA), syndrome opsomyoclonique (syndrome cérébelleux, mouvements anormaux, ataxie oculaire) et diarrhée chronique sécrétoire par sécrétion de VIP.","Ces syndromes orientent fortement vers le diagnostic."
"Quels sont les examens paracliniques essentiels au diagnostic de neuroblastome ?","Élévation des métabolites urinaires des catécholamines (HVA, VMA), échographie, TDM ou IRM (recherche d’extension intra-rachidienne), scintigraphie à la MIBG, et myélogrammes + biopsies osseuses en cas de suspicion de métastases ostéo-médullaires.","Le dosage des catécholamines urinaires et la scintigraphie MIBG sont très spécifiques."
"Quels sont les principes du traitement du neuroblastome ?","Exérèse chirurgicale la plus complète possible, chimiothérapie (tumeur chimiosensible) et radiothérapie (indications limitées chez l’enfant en raison des séquelles).","Le traitement est multimodal et adapté à l’extension et à l’âge."
"Quels sont les facteurs pronostiques principaux du neuroblastome ?","Extension locorégionale (qui conditionne la qualité de l’exérèse) et âge : bon pronostic avant 1 an même en présence de métastases ; pronostic plus grave après 1 an, surtout en cas de métastases ostéo-médullaires.","L’âge est un facteur pronostique majeur."
"Qu’est-ce que le syndrome de Pepper et le syndrome de Hutchinson dans le neuroblastome ?","Syndrome de Pepper : hépatomégalie monstrueuse par métastases hépatiques chez le petit nourrisson. Syndrome de Hutchinson : ecchymoses péri-orbitaires avec exophtalmie par métastases osseuses orbitaires.","Ces deux syndromes métastatiques sont très évocateurs du neuroblastome."
