"question","answer","explanation"
"Quelle est la définition histologique de la glomérulonéphrite aiguë ?","Glomérulonéphrite proliférative sur le versant endocapillaire.","Il s’agit d’une prolifération des cellules endothéliales et mésangiales avec exsudat de polynucléaires."
"Quel est le terrain épidémiologique le plus fréquent de la glomérulonéphrite aiguë ?","60 % des cas surviennent entre 2 et 12 ans ; seulement 10 % après 40 ans.","C’est une maladie essentiellement pédiatrique."
"Quel est le mécanisme physiopathologique principal de la glomérulonéphrite aiguë post-infectieuse ?","Formation de complexes immuns circulants (antigène-anticorps-complément) qui se déposent dans le glomérule et déclenchent une inflammation.","Ce mécanisme correspond au tableau de maladie sérique aiguë."
"Quel est l’intervalle libre typique entre l’épisode infectieux et le début de la glomérulonéphrite aiguë ?","2 à 3 semaines (15-21 jours).","Cet intervalle est caractéristique des formes post-streptococciques."
"Quels sont les éléments du syndrome néphritique aigu ?","Œdèmes déclives (visage, lombes, membres), HTA, hématurie (macroscopique dans 30 % des cas), oligurie/anurie, protéinurie non sélective et cylindrurie hématique.","Il s’agit du tableau clinique classique de la phase d’état."
"Quels sont les signes biologiques caractéristiques de la glomérulonéphrite aiguë ?","Baisse de CH50, C3 et C4, élévation transitoire des anticorps antistreptococciques (ASLO, antistreptodornase), protéinurie non sélective, hématurie et cylindres hématiques.","La normalisation plus rapide de C4 que de C3 est un élément distinctif important."
"Quels sont les aspects histologiques typiques en microscopie optique de la glomérulonéphrite aiguë ?","Prolifération endocapillaire (cellules mésangiales et endothéliales) + exsudat de polynucléaires + dépôts extramembraneux en « chapeau de gendarme » (humps).","Les humps sont très caractéristiques."
"Quel est l’aspect en immunofluorescence de la glomérulonéphrite aiguë ?","Fixation granuleuse très abondante des sérums anti-C3 (et rarement anti-IgG) suivant la distribution des humps.","Cet aspect confirme le dépôt de complexes immuns."
"Citez les principales causes infectieuses de glomérulonéphrite aiguë.","Streptocoque β-hémolytique du groupe A (néphritogène), staphylocoque, pneumocoque, méningocoque, virus (herpès, coxsackie, échovirus, adénovirus, virus des hépatites).","Le streptocoque reste la cause la plus classique."
"Quelles sont les principales complications de la glomérulonéphrite aiguë ?","HTA avec œdème cérébral ou pulmonaire, anurie initiale et détérioration rapide de la fonction rénale.","La mortalité à la phase aiguë reste inférieure à 0,5 %."
"Quelle est l’évolution habituelle de la glomérulonéphrite aiguë ?","Régression des signes en 48 h ; la protéinurie peut persister jusqu’à 6 mois et l’hématurie microscopique jusqu’à 12 mois ; normalisation du complément en 1 mois.","Le pronostic est généralement favorable."
"Quels sont les principes du traitement de la glomérulonéphrite aiguë ?","Régime désodé strict, restriction hydrique, diurétiques si œdèmes, contrôle de l’HTA, correction de l’acidose, antibiothérapie si foyer infectieux patent (pénicilline ou amoxicilline 10 jours si streptocoque).","Le traitement est essentiellement symptomatique et étiologique."
