"question","answer","explanation"
"Quels sont les principaux faciès épidémiologiques du paludisme à Madagascar ?","Faciès tropical (transmission pérenne), équatorial (6 mois, octobre-avril), subdésertique (épisodique) et des hauts plateaux (épidémique, janvier-avril).","Le paludisme y est endémo-épidémique."
"Quels sont les critères d’incidence pour la classification du paludisme ?","Haute > 100/1000 ; modérée 50-100/1000 ; basse 10-50/1000 ; très basse 1-9/1000 ; en voie d’élimination < 1/1000 habitants.","13 districts sont en phase d’élimination."
"Quels sont les principaux agents pathogènes du paludisme et leurs particularités ?","P. falciparum (principale espèce mortelle, résistances), P. vivax et P. ovale (fièvre tierce, rechutes), P. malariae (fièvre quarte).","P. falciparum est responsable de la majorité des décès."
"Quel est le vecteur principal du paludisme et ses caractéristiques ?","Anophèle femelle ; pique la nuit (23 h-4 h) ; vit à 16-18 °C près des points d’eau.","Les gîtes larvaires péri-domestiques (pots, pneus, récipients…) favorisent sa multiplication."
"Qu’est-ce que la prémunition ?","Immunité acquise contre le paludisme, constituée en environ 5 ans et disparaissant en 1 à 2 ans après retour en zone non endémique.","Il n’existe pas d’immunité naturelle."
"Quels sont les piliers de la lutte antivectorielle ?","Moustiquaires à imprégnation durable (MID), campagne d’aspersion intradomiciliaire (CAID), larvicides et assainissement du milieu (élimination des gîtes).","Ils constituent la base de la prévention."
"Qu’est-ce que le TPI et à qui s’adresse-t-il ?","Traitement préventif intermittent : 3 doses de sulfadoxine-pyriméthamine lors des CPN chez la femme enceinte.","Il existe aussi une chimio-prévention saisonnière chez les enfants < 5 ans."
"Que signifie la stratégie « 3T » dans la prise en charge du paludisme ?","Tester (TDR ou goutte épaisse/frottis), Traiter (ACT en première intention ; artésunate injectable si forme grave), Tracer (enregistrement et suivi des cas).","Tout syndrome fébrile en zone d’endémie ou au retour d’endémie est une urgence diagnostique."
"Quels sont les principaux tests biologiques de confirmation du paludisme ?","TDR (détection d’antigènes : HRP2 pour P. falciparum, Pan-LDH), goutte épaisse + frottis mince, éventuellement QBC ou PCR.","Le frottis permet le diagnostic d’espèce et la parasitémie."
"Quels sont les objectifs du Plan stratégique national de lutte contre le paludisme 2018-2022 ?","Réduire la morbidité et la mortalité d’au moins 30 % chacune sur la période.","La stratégie combine prévention, prise en charge, surveillance et recherche."
