"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la drépanocytose chez l’enfant ?","Définir la maladie, citer les signes cliniques et paracliniques, énumérer les complications et énoncer les principes du traitement.","Ces quatre points couvrent l’essentiel de la prise en charge."
"Comment définit-on la drépanocytose ?","Anémie hémolytique constitutionnelle autosomique récessive due à une hémoglobine anormale (Hb S).","Elle est liée à une mutation ponctuelle de la chaîne β de l’hémoglobine."
"Pourquoi la drépanocytose est-elle asymptomatique avant 6 mois ?","Parce que l’hémoglobine fœtale (Hb F) n’est pas encore remplacée par l’Hb S pathologique.","Les premiers signes apparaissent généralement entre 6 et 18 mois."
"Quel est le syndrome révélateur le plus fréquent entre 6 et 18 mois ?","Le syndrome pied-main (dactylite) : tuméfaction douloureuse aiguë du dos des mains et des pieds.","C’est une crise vaso-occlusive typique du nourrisson."
"Quels sont les signes cliniques de la forme homozygote SS en période d’état ?","Syndrome douloureux (localisé ou diffus), syndrome anémique (pâleur), ictère discret, splénomégalie, souffle systolique, altération de l’état général.","L’hémolyse chronique explique l’ictère et la splénomégalie."
"Quels examens confirment le diagnostic de drépanocytose ?","Test d’Emmel (falciformation) et électrophorèse de l’hémoglobine (présence d’Hb S, F, A2 et absence d’Hb A dans la forme SS).","L’électrophorèse est l’examen de référence."
"Quelles sont les principales complications infectieuses de la drépanocytose ?","Pneumonie, méningite (Haemophilus, Salmonelle), ostéomyélite/ostéo-arthrite (Salmonelle), infections urinaires, septicémies.","Les drépanocytaires sont particulièrement sensibles aux germes encapsulés."
"Quelles sont les principales complications vaso-occlusives et anémiques ?","AVC, syndrome thoracique aigu, priapisme, crises douloureuses répétées ; érythroblastopénie (Parvovirus B19) et séquestration splénique aiguë.","La séquestration splénique est une urgence vitale (choc + anémie profonde)."
"Quels sont les principes du traitement d’une crise douloureuse ?","Hydratation (3 L/m² PO ou 2 L/m² IV), repos, oxygène, antalgiques (paracétamol, ibuprofène, ± codéine), folates.","L’hydratation et l’analgésie sont les piliers."
"Quelles sont les mesures préventives essentielles chez l’enfant drépanocytaire ?","Acide folique quotidien, vaccinations élargies (pneumocoque, Haemophilus, méningocoque, salmonelle…), antibioprophylaxie par pénicilline, éducation des parents, consultation rapide en cas de fièvre.","Ces mesures ont considérablement amélioré le pronostic."
