"question","answer","explanation"
"Quels sont les objectifs pédagogiques de l’insuffisance surrénale ?","Définir, décrire les signes cliniques (aiguë et chronique), les signes paracliniques, citer les étiologies et décrire la prise en charge.","C’est une urgence diagnostique et thérapeutique rare mais vitale."
"Quelle est la différence entre insuffisance surrénale primaire et secondaire ?","Primaire : atteinte de la glande (↓ cortisol + aldostérone, ↑ ACTH et rénine). Secondaire (corticotrope) : atteinte hypothalamo-hypophysaire (↓ cortisol, ACTH normale ou basse, aldostérone conservée).","Chez le nouveau-né l’origine est le plus souvent génétique et primaire."
"Quels sont les signes d’insuffisance surrénale aiguë du nouveau-né/nourrisson ?","Déficit glucocorticoïde : hypoglycémie, hypotonie, convulsions, ictère prolongé, hypotension. Déficit minéralocorticoïde (après 8-15 j) : mauvaise prise pondérale, vomissements, déshydratation, collapsus. ± anomalies des OGE.","Le tableau est bruyant mais peu spécifique."
"Quels sont les signes d’insuffisance surrénale chronique ?","Mélano dermie (si primaire), asthénie, douleurs abdominales, hypoglycémies au stress, anorexie, perte de poids, hypotension orthostatique.","La mélano dermie signe l’origine surrénalienne primaire."
"Quels examens biologiques orientent en urgence vers une IS aiguë ?","Hyponatrémie < 132 mmol/L avec natriurèse conservée > 30 mmol/L, hyperkaliémie, acidose métabolique, ↑ rénine, hypoglycémie, ↑ ACTH (> 200 pg/ml si primaire).","Le traitement ne doit pas attendre les résultats hormonaux."
"Quelle est la cause la plus fréquente d’IS néonatale ?","Hyperplasie congénitale des surrénales par déficit en 21-hydroxylase (> 95 % des cas), autosomique récessive, dépistée par ↑ 17-OH-progestérone.","Elle s’accompagne souvent d’un syndrome de perte de sel et d’ambiguïté sexuelle chez la fille."
"Quelle est la cause la plus fréquente d’IS chez le grand enfant ?","Sevrage brutal d’une corticothérapie prolongée (insuffisance corticotrope).","Les causes primaires (auto-immune, tuberculose, tumeur) sont plus rares."
"Quel est le traitement d’urgence d’une IS aiguë ?","Remplissage si collapsus, réhydratation par G5 ou G10 % enrichi en NaCl (pas de KCl), hydrocortisone IV 2-4 mg/kg/6 h, minéralocorticoïde (DOCA) si besoin, correction de l’hyperkaliémie.","Le traitement substitutif doit être débuté immédiatement."
"Quel est le traitement au long cours d’une IS chronique ?","Hydrocortisone 10-20 mg/m²/j en 2-4 prises ± fludrocortisone 25-150 µg/j ± supplémentation sodée chez le nourrisson. Adaptation des doses en cas de stress.","L’éducation thérapeutique (carte, injection IM en cas de vomissements) est indispensable."
"Quel est le message clé de conclusion ?","L’IS aiguë est une urgence : ne pas attendre les résultats pour traiter. Le traitement est toujours substitutif (gluco ± minéralocorticoïdes ± sel). L’éducation de la famille prévient les décompensations.","La surveillance de la croissance et de la PA guide l’adaptation des doses."
