"question","answer","explanation"
"Quels sont les objectifs pédagogiques de la staphylococcie pleuro-pulmonaire ?","Expliquer le mécanisme physiopathologique, poser le diagnostic positif et décrire la prise en charge.","Affection grave du nourrisson < 2 ans, urgence vitale."
"Quel est le mécanisme physiopathologique de la SPP ?","Contamination cutanée ou muqueuse → thrombophlébite locale → bactériémie → métastases septiques pulmonaires (furoncles) → atteinte pleurale par voie lymphatique ou hématogène.","Le staphylocoque a un pouvoir toxique et nécrosant."
"Quelle est la triade clinique évocatrice chez le nourrisson ?","Altération de l’état général (teint gris), météorisme abdominal et détresse respiratoire.","Les signes digestifs peuvent simuler un abdomen chirurgical."
"Quels sont les signes de la phase d’état ?","Signes généraux marqués, déshydratation, choc, refus alimentaire, troubles du transit, polypnée, geignement, cyanose, signes de lutte.","Rechercher systématiquement une porte d’entrée cutanée ou un foyer familial."
"Quels examens radiologiques et biologiques demandez-vous ?","Radio thoraco-abdominale (opacités floconneuses, nodules, bulles, pleurésie à droite +++ ; aéro-iléocolie), NFS (hyperleucocytose ou leucopénie de gravité), CRP, hémocultures, ponction pleurale.","La leucopénie et la thrombopénie sont des signes de gravité."
"Quel est le traitement antibiotique probabiliste initial ?","Amoxicilline-acide clavulanique 150 mg/kg/j en 3 IVL. Puis adaptation selon antibiogramme (cloxacilline si méti-S ; vancomycine + clindamycine si méti-R). Durée totale 4-6 semaines.","L’antibiothérapie est urgente après prélèvements."
"Quelles sont les indications du drainage pleural ?","Pleurésie purulente ou signes de mauvaise tolérance respiratoire.","Le drainage s’associe aux mesures de réanimation."
"Quels sont les facteurs de mauvais pronostic ?","Retard de prise en charge, jeune âge, hypotrophie, hypothermie, collapsus, apnée, atteinte bilatérale, leucopénie, thrombopénie.","Le traitement précoce améliore nettement le pronostic."
"Quelles sont les complications mécaniques redoutées ?","Pneumatocèle (bulles), pneumothorax, pyopneumothorax, abcès pulmonaire, pleurésie purulente.","Surveillance radiologique rapprochée les premiers jours."
"Quel est le message clé de conclusion ?","Chez le nourrisson : fièvre + AEG + signes respiratoires + signes digestifs = SPP jusqu’à preuve du contraire. Urgence diagnostique et thérapeutique.","La prévention repose sur l’hygiène et le traitement des lésions cutanées."
