"question","answer","explanation"
"Quelle est la place du métabolisme dans la pharmacocinétique ?","3e phase de la pharmacocinétique (après absorption et distribution).","Elle transforme les médicaments en métabolites plus facilement éliminables."
"Quel est le but principal des biotransformations ?","Rendre les molécules lipophiles hydrosolubles afin de favoriser leur élimination.","Les métabolites sont généralement moins actifs et moins toxiques, mais peuvent parfois être plus actifs ou plus toxiques."
"Où se déroule principalement le métabolisme des médicaments ?","Surtout au niveau hépatique (enzymes microsomiales et extra-microsomiales), mais aussi dans d’autres tissus (intestin, rein, poumon, peau…).","Le foie est l’organe central de la biotransformation."
"Quelles sont les réactions de la phase I ?","Oxydation (principale, via CYP450), réduction, hydrolyse et décarboxylation.","Elles introduisent ou exposent des groupements fonctionnels (-OH, -NH2, -COOH)."
"Qu’est-ce que le cytochrome P450 ?","Famille d’enzymes microsomiales hépatiques (isoformes CYP1, 2, 3, 4…) responsables de la majorité des oxydations.","Les plus importants sont CYP3A4 et CYP2D6."
"Quelles sont les conséquences d’une induction enzymatique du CYP450 ?","Augmentation de la vitesse de biotransformation → diminution de l’effet des médicaments actifs, augmentation de l’effet des prodrogues.","Exemples d’inducteurs : alcool, tabac, certains médicaments."
"Quelles sont les conséquences d’une inhibition enzymatique du CYP450 ?","Diminution de la biotransformation → augmentation des concentrations et de la toxicité des médicaments actifs, diminution de l’effet des prodrogues.","Exemples d’inhibiteurs : pamplemousse, certains médicaments."
"Quelles sont les principales réactions de la phase II (conjugaison) ?","Conjugaison avec l’acide glucuronique (UGT), les acides aminés (glycocolle), l’acide sulfurique, l’acide acétique (acétylation), un groupement méthyle et le glutathion.","Elles rendent les métabolites très hydrosolubles."
"Quel est le rôle de la conjugaison au glutathion ?","Défense cellulaire contre le stress oxydatif et élimination de toxiques (paracétamol, métaux lourds, polluants).","Elle passe par les glutathion-S-transférases."
"Quels facteurs intrinsèques modifient le métabolisme ?","Âge (immaturité du nouveau-né, diminution chez le sujet âgé), genre (œstrogènes inducteurs), génétique (acétyleurs lents/rapides) et états pathologiques (insuffisance hépatique).","Ces facteurs expliquent la grande variabilité interindividuelle."
"Quels facteurs extrinsèques modifient le métabolisme ?","Dose, association médicamenteuse (induction ou inhibition), alcool, tabac, pamplemousse.","Ils sont à l’origine de nombreuses interactions pharmacocinétiques."
"Pourquoi le métabolisme a-t-il une importance thérapeutique majeure ?","Il conditionne le choix de la voie d’administration et l’ajustement des posologies (insuffisance d’inactivation ou accélération du métabolisme).","Une connaissance précise évite les sous- ou surdosages."
